"REF_DATE","GEO","DGUID","Visible minority (15)","Generation status (4)","Age (15B)","Gender (3)","Statistics (3)","Income sources and taxes (32)","Income statistics (4)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Northwest Territories","2021A000261","Total visible minority population","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","172.2.1.5.1.1.2.4","74800","","","","0"
"2021","Northwest Territories","2021A000261","Total visible minority population","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","172.2.1.5.2.1.2.4","79800","","","","0"
"2021","Northwest Territories","2021A000261","Total visible minority population","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","172.2.1.5.3.1.2.4","70100","","","","0"
"2021","Northwest Territories","2021A000261","Not a visible minority","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","172.15.1.5.1.1.2.4","82000","","","","0"
"2021","Northwest Territories","2021A000261","Not a visible minority","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","172.15.1.5.2.1.2.4","87300","","","","0"
"2021","Northwest Territories","2021A000261","Not a visible minority","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","172.15.1.5.3.1.2.4","76600","","","","0"
"2021","Nunavut","2021A000262","Total - Visible minority","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","174.1.1.5.1.1.2.4","67900","","","","0"
"2021","Nunavut","2021A000262","Total - Visible minority","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","174.1.1.5.2.1.2.4","68800","","","","0"
"2021","Nunavut","2021A000262","Total - Visible minority","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","174.1.1.5.3.1.2.4","67100","","","","0"
"2021","Nunavut","2021A000262","Total visible minority population","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","174.2.1.5.1.1.2.4","103400","","","","0"
"2021","Nunavut","2021A000262","Total visible minority population","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","174.2.1.5.2.1.2.4","108400","","","","0"
"2021","Nunavut","2021A000262","Total visible minority population","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","174.2.1.5.3.1.2.4","98400","","","","0"
"2021","Nunavut","2021A000262","Not a visible minority","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","174.15.1.5.1.1.2.4","65500","","","","0"
"2021","Nunavut","2021A000262","Not a visible minority","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","174.15.1.5.2.1.2.4","66100","","","","0"
"2021","Nunavut","2021A000262","Not a visible minority","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","174.15.1.5.3.1.2.4","64900","","","","0"


